#{"t_start": 1748265526.3846576, "env_id": "None"}
r,l,t
-102.936825,200,261.585485
-130.308495,200,262.305223
-134.200432,200,262.555798
-144.975522,200,262.802456
-125.350887,200,262.999174
-119.95085,200,263.19221
-95.490766,200,263.902899
-100.146343,200,264.102952
-136.022286,200,264.30451
-117.322351,200,264.504552
-138.740149,200,264.711318
-129.317472,200,265.424589
-103.713352,200,265.629211
-132.547672,200,265.827274
-98.925322,200,266.024216
-177.100586,200,266.217246
-130.212788,200,266.903557
-106.366122,200,267.116587
-129.946388,200,267.351639
-177.176218,200,267.563177
-106.245039,200,267.758025
-115.671909,200,268.421698
-141.64247,200,268.621748
-124.73099,200,268.824823
-131.487365,200,269.024855
-153.507449,200,269.233407
-128.851466,200,269.951334
-99.731123,200,270.142352
-133.154749,200,270.334888
-148.420135,200,270.531423
-128.560729,200,270.726477
-103.790856,200,271.373158
-129.358791,200,271.573259
-174.53408,200,271.792732
-170.05689,200,272.038301
-170.734531,200,272.238344
-141.688123,200,272.897989
-139.779206,200,273.102031
-149.82612,200,273.323078
-124.210881,200,273.539772
-116.364263,200,273.74804
-136.336109,200,273.956077
-169.017798,200,274.650239
-163.896391,200,274.852281
-122.906698,200,275.055321
-139.837637,200,275.256375
-157.218992,200,275.971035
-130.054623,200,276.701196
-103.573258,200,276.923249
-152.982016,200,277.137808
-91.297773,200,277.344351
-168.443946,200,277.533393
-182.845933,200,278.200035
-158.500606,200,278.452599
-127.939606,200,278.657159
-120.657951,200,278.871203
-98.903244,200,279.066251
-118.211056,200,279.734698
-143.63219,200,279.944745
-112.133511,200,280.151435
-121.692681,200,280.383997
-145.504234,200,280.638562
-104.388476,200,281.365392
-121.592436,200,281.561435
-128.351452,200,281.770983
-98.077101,200,281.96802
-139.918146,200,282.162059
-179.444077,200,282.830208
-143.421494,200,283.03892
-130.413624,200,283.259955
-151.195388,200,283.491
-128.315823,200,283.690043
-109.493859,200,284.365721
-135.817594,200,284.570696
-132.016058,200,284.77426
-119.281979,200,284.977942
-84.906094,200,285.180981
-161.389411,200,285.896836
-124.233324,200,286.10086
-149.076388,200,286.303889
-166.114818,200,286.50687
-150.604823,200,286.710853
-96.769861,200,287.366755
-91.063396,200,287.60406
-112.709873,200,287.807896
-154.230054,200,288.019579
-166.249727,200,288.222803
-187.262592,200,288.41456
-89.065556,200,289.068483
-136.575142,200,289.270762
-162.577771,200,289.490311
-131.057077,200,289.73685
-128.855813,200,289.957925
-175.666815,200,290.650325
-142.671906,200,290.855364
-118.551099,200,291.05291
-114.99162,200,291.249457
-114.442085,200,291.444657
-123.443103,200,292.148124
-138.143905,200,292.39316
-120.165339,200,292.601211
-115.697478,200,292.803253
-142.592327,200,293.002815
-127.39744,200,293.67965
-143.301283,200,293.890723
-146.339243,200,294.094781
-173.473277,200,294.324932
-128.906977,200,294.557873
-117.303864,200,295.292552
-158.241922,200,295.492517
-116.162804,200,295.692248
-126.696915,200,295.903292
-111.28824,200,296.102515
-98.742689,200,296.773934
-115.008338,200,297.021992
-131.699865,200,297.228431
-145.155006,200,297.439989
-92.460317,200,297.63802
-146.974458,200,298.305854
-153.831227,200,298.508589
-133.967783,200,298.711664
-106.584031,200,298.942461
-145.728698,200,299.164015
-171.748501,200,299.818121
-107.522038,200,300.01851
-128.847012,200,300.224017
-144.470423,200,300.427092
-127.052857,200,300.640487
-166.947397,200,300.840532
-167.704601,200,301.550319
-102.455061,200,301.75135
-130.556072,200,301.952126
-135.480252,200,302.154175
-131.292263,200,302.340731
-116.861186,200,303.007499
-175.317109,200,303.250571
-120.594679,200,303.456647
-211.628422,200,303.669701
-125.34063,200,303.858761
-115.730113,200,304.524955
-172.052946,200,304.728004
-99.938914,200,304.932056
-110.725282,200,305.167593
-127.692258,200,305.369148
-154.723394,200,306.037763
-138.305623,200,306.248908
-129.501804,200,307.035803
-207.248145,200,307.262909
-152.023935,200,307.490304
