#{"t_start": 1748237572.2546065, "env_id": "None"}
r,l,t
-0.053547,20,33.892259
-0.049875,20,33.920256
-0.061217,20,33.952262
-0.063681,20,33.984777
-0.04746,20,34.01378
-0.066121,20,34.04078
-0.052566,20,34.081299
-0.043059,20,34.108299
-0.058796,20,34.140299
-0.071095,20,34.171819
-0.043727,20,34.197816
-0.05515,20,34.22982
-0.0732,20,34.262339
-0.045747,20,34.291337
-0.055704,20,34.318341
-0.048409,20,34.350352
-0.040033,20,34.380872
-0.051201,20,34.413872
-0.039498,20,34.439871
-0.044478,20,34.472397
-0.041032,20,34.506397
-0.0488,20,34.536397
-0.038047,20,34.568542
-0.056497,20,34.597539
-0.043312,20,34.63054
-0.064688,20,34.662584
-0.071217,20,34.691577
-0.046852,20,34.724581
-0.049834,20,34.754586
-0.064312,20,34.787099
-0.047139,20,34.821097
-0.043419,20,34.850104
-0.036731,20,34.880624
-0.035503,20,34.915624
-0.045383,20,34.944628
-0.048217,20,34.979143
-0.043453,20,35.014141
-0.055417,20,35.041143
-0.028116,20,35.071664
-0.043945,20,35.103664
-0.084838,20,35.136661
-0.036428,20,35.167181
-0.062314,20,35.19618
-0.045215,20,35.224181
-0.062618,20,35.256186
-0.040284,20,35.282707
-0.064744,20,35.31671
-0.06652,20,35.350717
-0.072282,20,35.380237
-0.051188,20,35.407241
-0.040238,20,35.439237
-0.050906,20,35.472751
-0.043093,20,35.505752
-0.047222,20,35.534749
-0.069543,20,35.565271
-0.028713,20,35.596269
-0.05363,20,35.629269
-0.04956,20,35.655277
-0.047959,20,35.686301
-0.062269,20,35.718302
-0.071073,20,35.750303
-0.056019,20,35.778824
-0.057703,20,35.810824
-0.038272,20,35.840825
-0.070543,20,35.874344
-0.041227,20,35.900344
-0.048814,20,35.934341
-0.056134,20,35.967879
-0.054573,20,35.998878
-0.058943,20,36.023878
-0.062768,20,36.057887
-0.051296,20,36.091398
-0.06538,20,36.122395
-0.064781,20,36.151408
-0.031248,20,36.182922
-0.03581,20,36.215923
-0.071374,20,36.249924
-0.039641,20,36.278441
-0.047101,20,36.311439
-0.09578,20,36.339438
-0.066977,20,36.373959
-0.059445,20,36.404965
-0.052041,20,36.439958
-0.083118,20,36.469484
-0.041498,20,36.499486
-0.045812,20,36.533486
-0.045903,20,36.566056
-0.064376,20,38.001616
-0.035328,20,38.038616
-0.047813,20,38.070138
-0.041811,20,38.098138
-0.059623,20,38.127145
-0.030675,20,38.157148
-0.069813,20,38.189664
